0,,,,,,,205,100,,,,,,,,,,,,,242,,,,,,,,,,,,,,,,,,282,,,,,,,,
,0,,755,,,,,,,,,,,,,,,,,,,,,,713,,,476,,,,,,,,,,,,,652,,,,,,
,,0,,,,,,,,,,,,,416,,,,,,253,340,,,,,,,,,,,337,,,,,,344,504,,,,,,,
,755,,0,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,535,,,,,,,,,,,,,
,,,,0,,,,,,,,,536,,,,,,,,,,,486,,,,355,,,,,626,,,,,,,,488,,,,,,100
,,,,,0,,,,,,,,,,,,,101,,,,,,,,,,,111,,,,,,,72,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,62,,,,,,,,,,108,,,,,,,,124,,,,,,,,,,,,
205,,,,,,,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,252,0,,,,,,,,,,,,,,,,,,,,,,434,,,,,,,212,,255,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,438,,541,,,,,,,,,441,,,,,,,338,,,619,,,727
,,,,,,,,,,0,190,291,,415,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,249,
,,,,,,,,,,190,0,190,,145,,,,,244,,,,,,,,,,,,,175,,,,,,,,,,,,,,,
,,,,,,,,,,291,190,0,,,,,,,,244,150,255,,187,,,,,,,,,,,,,,490,,,,,,,,279,
,,,,536,,,,,,,,,0,,,,,,,,,204,,165,,,,,,,,,293,,,,,,,,,,,,,,
,,,,,,,,,,415,145,,,0,,,,,,,,562,,,,,,,,,,186,,,,,,,203,,,,532,,197,,
,,416,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,
,,,,,,62,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,103,,,,,,,,129,,397,,
,,,,,101,,,,,,,,,,,,,0,,,,,,,,68,,,165,,,,,,,45,,,,,,236,,,,,
,,,,,,,,,,,244,,,,,,,,0,,,,,,,,,,,,,237,,,,,,,,,,,,,,614,
,,,,,,,,,,,,244,,,,,,,,0,,,,,,,,,,,435,,,,,,,404,,,,,,,,258,
242,,253,,,,,,,,,,150,,,,,,,,,0,,,,,,,,,,,,,,,,,,392,,,,,,,,
,,340,,,,,,,,192,,255,204,562,,,,,,,,0,,343,,,,,,,,,416,,,,,,453,,,,,,,,
,,,,,,,,,438,,,,,,,,,,,,,,0,,,,,,,,624,,,,,,,742,,,,,,,,,675
,,,,486,,,,,,,,187,165,,,,,,,,,343,,0,,,,,,,,,,,,,,392,,,,,,,,,444
,713,,129,,,,,,541,,,,,,,,,,,,,,,,0,,,,,,,,,663,,,,,,,534,,,,,,
,,,,,,,,,,,,,,,,139,,68,,,,,,,,0,,,,,,,,,,,,,,,,106,,,,,
,,,,,,108,,,,,,,,,,,,,,,,,,,,,0,,193,,,,,,127,,,,,,,,,,,,
,476,,,355,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,585,,,,,,,697,,,,,,,
,,,,,111,,,,,,,,,,,,,165,,,,,,,,,193,,0,,,,,,268,,,,,,,153,,,,,
,,,,,,,,434,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,200,,530,,,,156,,,,
,,,,,,,,,,,,,,,,,,,,435,,,624,,,,,,,,0,,,,,,,215,,,,,,,,,
,,,,,,,,,,,175,,,186,,,,,237,,,,,,,,,,,,,0,,,425,,,,,,,,,,160,,
,,337,,626,,,,,,,,,293,,,,,,,,,416,,,,,,585,,,,,0,,,,,,,388,,,,,,,
,,,535,,,,,,441,,,,,,,,,,,,,,,,663,,,,,,,,,0,,,,,,,,,,160,,,
,,,,,,124,,,,,,,,,,,103,,,,,,,,,,127,,268,,,425,,,0,,,,,,,,,,354,,
,,,,,72,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,490,,,,,,,,404,,,742,392,,,,,,,215,,,,,,,0,,,,,,,,,455
282,,344,,,,,,255,,,,,,203,,,,,,,392,453,,,,,,,,530,,,,,,,,,0,,,,597,,,,
,,504,,,,,,,,,,,,,430,,,,,,,,,,,,,697,,,,,388,,,,,,,0,,,,,,,
,652,,,488,,,,,338,,,,,,,,,,,,,,,,534,,,,,,,,,,,,,,,,0,,,,,,435
,,,,,,,,,,,,,,,,,,236,,,,,,,,106,,,153,,,,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,532,,,129,,,,,,,,,,,,,156,,,,,,,,,597,,,,0,,302,,
,,,,,,,,,619,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,0,,,
,,,,,,,,,,,,,,197,,,397,,,,,,,,,,,,,,,160,,,354,,,,,,,,302,,0,,
,,,,,,,,,,249,,279,,,,,,,614,258,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,100,,,,,727,,,,,,,,,,,,,,675,444,,,,,,,,,,,,,,455,,,435,,,,,,0